"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.664178554E1,6.079717504E1,2.573575016E1,7.794113631E1,1.789999962E0,1.681999969E2,3.790092468E0,2.500000000E0
7.764153747E1,6.079715930E1,2.573575768E1,7.785878263E1,1.740000010E0,1.673000031E2,3.790092468E0,2.500000000E0
7.864087653E1,6.079714409E1,2.573576569E1,7.797314517E1,1.759999990E0,1.628000031E2,3.790092468E0,2.500000000E0
7.964163289E1,6.079712942E1,2.573577599E1,7.796519646E1,1.720000029E0,1.625000000E2,3.790092468E0,2.500000000E0
8.064114820E1,6.079711502E1,2.573578433E1,7.806350583E1,1.679999948E0,1.661000061E2,3.790092468E0,2.500000000E0
8.164088388E1,6.079710122E1,2.573579125E1,7.808698232E1,1.649999976E0,1.666000061E2,3.790092468E0,2.500000000E0
8.264114497E1,6.079708669E1,2.573579751E1,7.823051513E1,1.730000019E0,1.688000031E2,3.790092468E0,2.500000000E0
8.364154606E1,6.079707188E1,2.573580379E1,7.820839909E1,1.750000000E0,1.688999939E2,3.790092468E0,2.500000000E0
8.464165304E1,6.079705661E1,2.573581015E1,7.810779286E1,1.740000010E0,1.693999939E2,3.790092468E0,2.500000000E0
8.564155137E1,6.079704136E1,2.573581715E1,7.806395048E1,1.779999971E0,1.675000000E2,3.790092468E0,2.500000000E0
8.664176575E1,6.079702581E1,2.573582744E1,7.818918214E1,1.769999981E0,1.638000031E2,3.790092468E0,2.500000000E0
8.764151403E1,6.079701026E1,2.573583787E1,7.837935546E1,1.720000029E0,1.645000000E2,3.790092468E0,2.500000000E0
8.864165668E1,6.079699509E1,2.573584516E1,7.860235917E1,1.750000000E0,1.668000031E2,3.790092468E0,2.500000000E0
8.964134778E1,6.079697981E1,2.573585152E1,7.842930423E1,1.750000000E0,1.663000031E2,3.790092468E0,2.500000000E0
9.064092637E1,6.079696452E1,2.573585813E1,7.853054176E1,1.730000019E0,1.666000061E2,3.790092468E0,2.500000000E0
9.164179403E1,6.079694951E1,2.573586434E1,7.859686592E1,1.730000019E0,1.661999969E2,3.790092468E0,2.500000000E0
9.264118382E1,6.079693412E1,2.573587203E1,7.870365984E1,1.720000029E0,1.641000061E2,3.790092468E0,2.500000000E0
9.364102929E1,6.079691887E1,2.573588002E1,7.867318599E1,1.789999962E0,1.631000061E2,3.790092468E0,2.500000000E0
9.464182679E1,6.079690378E1,2.573588952E1,7.879133524E1,1.759999990E0,1.641000061E2,3.790092468E0,2.500000000E0
9.564114585E1,6.079688863E1,2.573589806E1,7.889806925E1,1.779999971E0,1.661000061E2,3.790092468E0,2.500000000E0
9.664145944E1,6.079687372E1,2.573590414E1,7.908292325E1,1.720000029E0,1.693999939E2,3.790092468E0,2.500000000E0
9.764110382E1,6.079685881E1,2.573590980E1,7.919392393E1,1.759999990E0,1.685000000E2,3.790092468E0,2.500000000E0
9.864157106E1,6.079684345E1,2.573591608E1,7.930602525E1,1.769999981E0,1.653000031E2,3.790092468E0,2.500000000E0
9.964114621E1,6.079682802E1,2.573592462E1,7.920658304E1,1.740000010E0,1.661999969E2,3.790092468E0,2.500000000E0
1.006413337E2,6.079681193E1,2.573593387E1,7.930434798E1,1.769999981E0,1.626999969E2,3.790092468E0,2.500000000E0
1.016417668E2,6.079679570E1,2.573594608E1,7.953108595E1,1.789999962E0,1.615000000E2,3.790092468E0,2.500000000E0
1.026410357E2,6.079677947E1,2.573595722E1,7.946314421E1,1.799999952E0,1.643999939E2,3.790092468E0,2.500000000E0
1.036416461E2,6.079676374E1,2.573596506E1,7.918712657E1,1.759999990E0,1.678000031E2,3.790092468E0,2.500000000E0
1.046408907E2,6.079674784E1,2.573597132E1,7.938791295E1,1.769999981E0,1.686999969E2,3.790092468E0,2.500000000E0
1.056410761E2,6.079673255E1,2.573597736E1,7.945765530E1,1.750000000E0,1.688000031E2,3.790092468E0,2.500000000E0
1.066413353E2,6.079671775E1,2.573598351E1,7.934795355E1,1.700000048E0,1.671000061E2,3.790092468E0,2.500000000E0
1.076415415E2,6.079670296E1,2.573599099E1,7.928409166E1,1.730000019E0,1.651999969E2,3.790092468E0,2.500000000E0
1.086417679E2,6.079668822E1,2.573600013E1,7.916871907E1,1.710000038E0,1.631999969E2,3.790092468E0,2.500000000E0
1.096409142E2,6.079667419E1,2.573601118E1,7.908288969E1,1.690000057E0,1.608000031E2,3.790092468E0,2.500000000E0
1.106411468E2,6.079666049E1,2.573602240E1,7.903899116E1,1.690000057E0,1.608000031E2,3.790092468E0,2.500000000E0
1.116413456E2,6.079664645E1,2.573603312E1,7.897678179E1,1.679999948E0,1.596000061E2,3.790092468E0,2.500000000E0
1.126417984E2,6.079663198E1,2.573604275E1,7.901485198E1,1.759999990E0,1.625000000E2,3.790092468E0,2.500000000E0
1.136409129E2,6.079661621E1,2.573604939E1,7.914306803E1,1.740000010E0,1.696999969E2,3.790092468E0,2.500000000E0
1.146416157E2,6.079660013E1,2.573605623E1,7.895097254E1,1.820000052E0,1.668000031E2,3.790092468E0,2.500000000E0
1.156416101E2,6.079658239E1,2.573606526E1,7.902072507E1,2.099999905E0,1.651999969E2,3.790092468E0,2.500000000E0
1.166409462E2,6.079656362E1,2.573607389E1,7.896560088E1,2.130000114E0,1.666000061E2,3.790092468E0,2.500000000E0
1.176412362E2,6.079654474E1,2.573608220E1,7.899818384E1,2.150000095E0,1.660000000E2,3.790092468E0,2.500000000E0
1.186415291E2,6.079652582E1,2.573609291E1,7.917041975E1,2.190000057E0,1.636000061E2,3.790092468E0,2.500000000E0
1.196418129E2,6.079650648E1,2.573610382E1,7.926666806E1,2.150000095E0,1.651000061E2,3.790092468E0,2.500000000E0
1.206412062E2,6.079648725E1,2.573611179E1,7.917217585E1,2.170000076E0,1.651999969E2,3.790092468E0,2.500000000E0
1.216408990E2,6.079646793E1,2.573611965E1,7.915251271E1,2.210000038E0,1.673000031E2,3.790092468E0,2.500000000E0
1.226410571E2,6.079644860E1,2.573612683E1,7.927371747E1,2.220000029E0,1.678999939E2,3.790092468E0,2.500000000E0
1.236411510E2,6.079642936E1,2.573613397E1,7.941109630E1,2.180000067E0,1.683999939E2,3.790092468E0,2.500000000E0
1.246415868E2,6.079641029E1,2.573614139E1,7.921241576E1,2.220000029E0,1.673000031E2,3.790092468E0,2.500000000E0
1.256409987E2,6.079639136E1,2.573614901E1,7.933471921E1,2.210000038E0,1.673999939E2,3.790092468E0,2.500000000E0
1.266413381E2,6.079637208E1,2.573615600E1,7.903667304E1,2.130000114E0,1.653000031E2,3.790092468E0,2.500000000E0
1.276416373E2,6.079635333E1,2.573616405E1,7.946091786E1,2.200000048E0,1.651000061E2,3.790092468E0,2.500000000E0
1.286410299E2,6.079633377E1,2.573617287E1,7.964383264E1,2.200000048E0,1.666999969E2,3.790092468E0,2.500000000E0
1.296416480E2,6.079631434E1,2.573618000E1,7.970253750E1,2.150000095E0,1.695000000E2,3.790092468E0,2.500000000E0
1.306418218E2,6.079629468E1,2.573618983E1,7.993745629E1,2.240000010E0,1.656000061E2,3.790092468E0,2.500000000E0
1.316416003E2,6.079627521E1,2.573620268E1,8.007258784E1,2.259999990E0,1.635000000E2,3.790092468E0,2.500000000E0
1.326408907E2,6.079625440E1,2.573621343E1,8.025563064E1,2.410000086E0,1.703999939E2,3.790092468E0,2.500000000E0
1.336416368E2,6.079623446E1,2.573622056E1,8.051868217E1,2.130000114E0,1.696000061E2,3.790092468E0,2.500000000E0
1.346415353E2,6.079621537E1,2.573622840E1,8.071111573E1,2.220000029E0,1.698999939E2,3.790092468E0,2.500000000E0
1.356416299E2,6.079619572E1,2.573623758E1,8.118602354E1,2.299999952E0,1.668999939E2,3.790092468E0,2.500000000E0
1.366409460E2,6.079617613E1,2.573624687E1,8.123545536E1,2.289999962E0,1.663000031E2,3.790092468E0,2.500000000E0
1.376418018E2,6.079615660E1,2.573625610E1,8.135819019E1,2.210000038E0,1.680000000E2,3.790092468E0,2.500000000E0
1.386410924E2,6.079613703E1,2.573626480E1,8.130380008E1,2.180000067E0,1.668000031E2,3.790092468E0,2.500000000E0
1.396416283E2,6.079611681E1,2.573627199E1,8.135463302E1,2.240000010E0,1.703999939E2,3.790092468E0,2.500000000E0
1.406411112E2,6.079609542E1,2.573628009E1,8.169819447E1,2.380000114E0,1.706000061E2,3.790092468E0,2.500000000E0
1.416417576E2,6.079607490E1,2.573629093E1,8.180823884E1,2.220000029E0,1.648999939E2,3.790092468E0,2.500000000E0
1.426409120E2,6.079605534E1,2.573630336E1,8.205817692E1,2.279999971E0,1.651999969E2,3.790092468E0,2.500000000E0
1.436412367E2,6.079603618E1,2.573631722E1,8.207813642E1,2.309999943E0,1.635000000E2,3.790092468E0,2.500000000E0
1.446416334E2,6.079601705E1,2.573632982E1,8.216700222E1,2.250000000E0,1.653999939E2,3.790092468E0,2.500000000E0
1.456418004E2,6.079599773E1,2.573634121E1,8.212488469E1,2.269999981E0,1.656000061E2,3.790092468E0,2.500000000E0
1.466409963E2,6.079597812E1,2.573635276E1,8.218133979E1,2.289999962E0,1.663000031E2,3.790092468E0,2.500000000E0
1.476410865E2,6.079595855E1,2.573636789E1,8.231214226E1,2.339999914E0,1.611999969E2,3.790092468E0,2.500000000E0
1.486412760E2,6.079593870E1,2.573638244E1,8.241334214E1,2.380000114E0,1.658000031E2,3.790092468E0,2.500000000E0
1.496414638E2,6.079591753E1,2.573639286E1,8.307105543E1,2.390000105E0,1.691000061E2,3.790092468E0,2.500000000E0
1.506414433E2,6.079589673E1,2.573640220E1,8.357733780E1,2.380000114E0,1.675000000E2,3.790092468E0,2.500000000E0
1.516414555E2,6.079587636E1,2.573641056E1,8.362969907E1,2.359999895E0,1.685000000E2,3.790092468E0,2.500000000E0
