"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.079308497E0,2.524391413E-1,5.583187342E-1,-1.008955002E0
1.084308497E0,2.248216867E-1,3.207981586E-1,-9.207830429E-1
1.089308497E0,2.074449062E-1,-5.816459656E-3,-7.992382050E-1
1.094308497E0,1.850411892E-1,-3.057262897E-1,-6.877775192E-1
1.099308497E0,8.474135399E-2,-5.559772253E-1,-5.586709976E-1
1.104308497E0,-9.510326385E-2,-7.037737370E-1,-2.562007904E-1
1.109308497E0,-2.823910713E-1,-8.267965317E-1,2.381048203E-1
1.114308497E0,-4.230804443E-1,-8.911008835E-1,8.973684311E-1
1.119308497E0,-4.758057594E-1,-9.276370406E-1,1.669841766E0
1.124308497E0,-4.558675289E-1,-9.551984072E-1,2.479515076E0
1.129308497E0,-3.554081917E-1,-9.345213771E-1,3.221681595E0
1.134308497E0,-1.953322887E-1,-9.455287457E-1,3.850722313E0
1.139308497E0,1.415205002E-2,-9.703398943E-1,4.294054031E0
1.144308497E0,2.270616293E-1,-9.643474817E-1,4.479311943E0
1.149308497E0,4.061946869E-1,-9.292337894E-1,4.406239510E0
1.154308497E0,5.210446119E-1,-8.151543140E-1,4.108889580E0
1.159308497E0,5.405222178E-1,-5.794390440E-1,3.595049858E0
1.164308497E0,4.566280842E-1,-2.650026083E-1,2.962480545E0
1.169308497E0,3.106356859E-1,1.199196577E-1,2.312704086E0
1.174308497E0,1.443852186E-1,4.913048744E-1,1.604930878E0
1.179308497E0,-6.746292114E-2,8.644654751E-1,8.707866669E-1
1.184308497E0,-3.068385124E-1,1.222857594E0,1.750364304E-1
1.189308497E0,-5.265963078E-1,1.579412580E0,-4.299364090E-1
1.194308497E0,-7.112407684E-1,1.882714391E0,-9.042339325E-1
1.199308497E0,-9.107608795E-1,2.081526279E0,-1.244363785E0
1.204308497E0,-1.163075209E0,2.070771217E0,-1.373499870E0
1.209308497E0,-1.416815042E0,1.819153070E0,-1.268884659E0
1.214308497E0,-1.699450254E0,1.283780336E0,-8.103990555E-1
1.219308497E0,-1.886521101E0,4.786993265E-1,-3.452968597E-2
1.224308497E0,-1.885813951E0,-4.112008810E-1,9.868726730E-1
1.229308497E0,-1.688648224E0,-1.244516730E0,2.055022240E0
1.234308497E0,-1.346956730E0,-1.989390731E0,3.080330849E0
1.239308497E0,-9.036273956E-1,-2.662531614E0,4.021209717E0
1.244308497E0,-4.001734257E-1,-3.127392769E0,4.736592293E0
1.249308497E0,3.935372829E-2,-3.397737503E0,5.257209778E0
1.254308497E0,4.511175156E-1,-3.513487339E0,5.532602310E0
1.259308497E0,7.683756948E-1,-3.445737839E0,5.663514137E0
1.264308497E0,9.949386716E-1,-3.194132328E0,5.625774384E0
1.269308497E0,1.112141967E0,-2.737341881E0,5.453522682E0
1.274308497E0,1.166681051E0,-2.120015383E0,5.142911911E0
